Sorry hans uf lutlos gha und im zimrliege  lah ! ja ich müßt na birebiz  italdiskußion  mache abr ssòt,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,
Sorry dassi  nüd ha chöne abneh - ich ha mi grad so aktiv gfühlt und ha 6 km ufem   crosstrainer und no chli chrafttraining gmacht :-),PARTNER,FRIENDS,FRIENDS,PARTNER,FRIENDS,FRIENDS,FRIENDS,
Sorry dasi  schrib . kömer  glich scho hüt obig tel ? lg,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,
Sorry dasi  schrib . kömer   glich scho hüt obig tel ? lg,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,
"Sorry , noned dihei ! stoh voll im stau :'( :'( ! geb där aber bscheid wän i dihei be !",UNKNOWN,PARTNER,PARTNER,PARTNER,PARTNER,FRIENDS,PARTNER,
"Sorry , has  erst jetzt gseh ... Bi amene   Wiehnachtsesse gsi ... Vill Spass no und bis morn Gruessli Steffi",FRIENDS,PARTNER,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,
"Sorry , gaht dir au nachem  mittag ? Chan ebe no mis auto go bringe id   garage .  15 z richeburg ?",FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,UNKNOWN,FRIENDS,
"Sorry , bi ufem   crosstrainer gsi - jetz muesi  no under d' duschi :-) Söll där nachher zrugg lüte ? :-*",PARTNER,PARTNER,FRIENDS,PARTNER,FRIENDS,PARTNER,PARTNER,
soo guet abr i übrlebs  grad nu und du besch au i dä schuel ? Hdmm   ... fg  kiss,PARTNER,PARTNER,FRIENDS,PARTNER,FRIENDS,PARTNER,FRIENDS,
So wie immer ... es isch vollmond u. hüt morge bini de uslöser für en unfall gsi .. ha glück ka .... bi jetzt z arbon am warte u. froh wenn,FRIENDS,PARTNER,FRIENDS,FAMILY,UNKNOWN,FRIENDS,FRIENDS,
"so 6 i / 7 i ? eifach damiti  weiß , wieni  d nachhilf chönnt verschiebe . lg",FRIENDS,UNKNOWN,UNKNOWN,FRIENDS,BUSINESS,UNKNOWN,BUSINESS,
so ? ( siehe auch E-Mail ) ? Denn würdi  das de Linda sust als Alternative vorschloh ... Lg   Nicola,BUSINESS,FRIENDS,BUSINESS,BUSINESS,BUSINESS,BUSINESS,BUSINESS,
"so , bi i däm ruum grad hinter de nachschlagewerk ( richtig büecherturm hintere  laufe ) und hadr   es plätzli reserviert . wänd  nöd weisch wos  isch , chasch d bibliothekarin fröge wo de büecherturm isch",FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,BUSINESS,BUSINESS,
SMS hed mi eds  1o chost -.- haha . xD shriebsh mer wän si do gshriebä hed hehe .. hdL  . x3,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,PARTNER,FRIENDS,
Sisch  huere geil gsi und lerne naja isch chli zchurz  cho abrnaja   ! ^^ abr bin andrsch im loch ! gahn mal go penne,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,
"Sindo  dänn vokleidät an stamm ? Bi üs gitz   morn zobed  im stuz  halloween . Etz bini  gad am schaffä . Will heiße kafi trinke ,",FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,UNKNOWN,FRIENDS,
sind praktisch fertig worde . Mue abr no einiges erledige am Morge bevori  uf Züri gange ! Hoffentli chani   grad ischlofe und chum ims da Rhythmus ! Dübski fest ! Sukkini :xX,FRIENDS,FRIENDS,UNKNOWN,FRIENDS,FRIENDS,FRIENDS,FRIENDS,
"silvano , bisch morn im rom. seminar am lerne ? wür dänk so ab 9 i det si .. lg",FRIENDS,FRIENDS,FRIENDS,FRIENDS,FRIENDS,BUSINESS,FRIENDS,
sie chönt mitcho ? :P aso nur wänns  vo dir + dine kolleginne us ok isch ? wo würdeder ane ?,FRIENDS,FRIENDS,FRIENDS,FAMILY,FRIENDS,FRIENDS,FRIENDS,